,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Sub_Category,,,,,,,,,,,,,,,,
isowdi-htowrh,67.0,60.11940298507463,25.20973981334108,12.0,40.0,56.0,82.0,111.0,67.0,7.223880597014926,2.718181742549035,2.0,5.0,7.0,8.5,16.0
kdowsh-hchdsh,229.0,56.69432314410481,20.863024731934132,3.0,42.0,53.0,72.0,105.0,229.0,6.890829694323144,2.39541845441375,1.0,6.0,7.0,8.0,16.0
kelim,175.0,15.468571428571428,8.5277023703674,4.0,10.0,13.0,19.5,52.0,175.0,4.668571428571428,1.2882696736524326,2.0,4.0,5.0,5.0,10.0
klaim,180.0,43.03888888888889,19.958158435687647,8.0,27.75,41.0,55.0,106.0,180.0,6.2,2.1071837754897293,1.0,5.0,6.0,8.0,12.0
kli-hmkdsh,154.0,43.532467532467535,18.352456632825024,5.0,30.25,41.0,55.0,102.0,154.0,6.7727272727272725,2.3221657889301275,1.0,5.0,7.0,8.0,15.0
klim,392.0,38.00255102040816,23.787797891230163,3.0,19.0,31.0,53.0,108.0,392.0,6.668367346938775,2.397189186881884,2.0,5.0,6.0,8.0,16.0
krbn-psch,120.0,50.375,25.85059286090948,6.0,29.0,47.0,69.75,101.0,120.0,6.958333333333333,2.538430115441509,1.0,5.0,7.0,8.0,15.0
kriat-shma,56.0,48.125,18.91806495966704,4.0,35.0,46.0,59.0,104.0,56.0,6.75,2.134138105780752,1.0,5.0,7.0,8.0,11.0
literary,74536.0,17.552471289041538,11.644822404885803,2.0,9.0,15.0,23.0,132.0,74536.0,5.252884512182033,2.0057420083241695,0.0,4.0,5.0,6.0,20.0
mailh,97.0,40.11340206185567,23.004925328004852,3.0,23.0,35.0,57.0,102.0,97.0,6.515463917525773,2.005790586349597,2.0,5.0,6.0,8.0,13.0
maklowt-asowrowt,420.0,45.02619047619048,18.990432957819735,6.0,31.0,43.0,58.0,107.0,420.0,6.980952380952381,2.357057963047105,1.0,6.0,7.0,8.0,16.0
mashh-hkrbnowt,320.0,42.8875,19.978040452293605,6.0,29.0,40.0,53.0,105.0,320.0,6.559375,2.4100572158558933,1.0,5.0,6.0,8.0,15.0
